"timestamp","open","high","low","close","adjusted close","volume","dividend amount"
"2011-06-30","1614.0500","1631.0000","1483.5500","1531.9000","1436.6542","8234324","0.0000"
"2011-05-31","1684.0000","1717.6500","1527.0000","1615.8500","1504.4000","5563800","0.0000"
"2011-04-29","1644.0000","1694.0000","1600.5000","1663.9000","1549.1356","3689429","0.0000"
"2011-03-31","1540.1000","1677.9000","1490.0000","1639.0500","1525.9998","6329816","0.0000"
"2011-02-28","1632.0000","1658.8000","1470.1500","1546.0000","1439.3676","5434034","0.0000"
"2011-01-31","1671.0000","1728.0000","1525.3000","1624.2500","1512.2207","7908416","0.0000"
"2010-12-31","1788.0000","1854.0000","1616.1000","1662.8500","1548.1582","9044587","0.0000"
"2010-11-30","1667.0000","1813.5000","1666.0000","1786.7000","1663.4657","7539202","0.0000"
"2010-10-29","1447.9500","1674.0000","1445.0000","1659.6000","1545.1323","8441382","0.0000"
"2010-09-30","1370.0000","1559.9000","1353.6000","1441.7000","1342.2615","8722042","0.0000"
"2010-08-31","1360.0000","1395.0000","1305.1500","1364.4500","1270.3398","8995691","0.0000"
"2010-07-30","1450.0000","1515.0000","1277.1500","1354.6000","1261.1691","11800992","0.0000"
"2010-06-30","1401.0000","1517.0000","1379.0000","1451.2500","1340.6002","11505992","0.0000"
"2010-05-31","1257.0000","1417.5000","1145.3500","1403.8500","1296.8142","10154799","0.0000"
"2010-04-30","1283.0000","1318.0000","1158.3000","1259.9500","1163.8857","7889414","0.0000"
"2010-03-31","1151.0000","1318.2000","1121.6500","1274.9500","1177.7421","6141195","0.0000"
"2010-02-26","1139.0000","1192.0000","0.0000","1142.3000","1055.2059","6898822","0.0000"
"2010-01-29","1140.0000","1257.0000","1065.6500","1119.6000","1034.2367","10982747","0.0000"
"2009-12-31","1144.0000","1249.7000","1062.3500","1146.6000","1059.1781","9483381","0.0000"
"2009-11-30","1039.8000","1146.0000","1016.0000","1128.9500","1042.8739","10603728","0.0000"
"2009-10-30","982.0000","1039.0000","890.0000","1011.4000","934.2864","11251702","0.0000"
"2009-09-30","792.0000","1018.1000","745.2000","992.7500","917.0584","14543621","0.0000"
"2009-08-31","817.2000","836.0000","768.1000","792.9000","732.4458","3985949","0.0000"
"2009-07-31","780.0000","835.9000","728.0500","820.3000","757.7567","8564914","0.0000"
"2009-06-30","648.0000","800.0000","595.5000","779.8500","714.6722","13583031","0.0000"
"2009-05-29","544.7500","681.5000","537.3000","647.5000","593.3838","8792150","0.0000"
"2009-04-30","495.0000","579.9000","475.3000","546.9000","501.1916","4948309","0.0000"
"2009-03-31","390.0000","495.0000","355.2500","490.2000","449.2304","9819418","0.0000"
"2009-02-27","446.0500","468.8000","386.1000","391.8500","359.1003","7623581","0.0000"
"2009-01-30","470.5000","506.0000","418.0500","449.8000","412.2070","6844342","0.0000"
"2008-12-31","435.0000","495.9000","380.0000","468.6500","429.4815","8467296","0.0000"
"2008-11-28","436.0000","436.0000","0.0000","427.2000","391.4958","7631168","0.0000"
"2008-10-31","564.0000","564.0000","401.0000","429.9000","393.9702","10808293","0.0000"
"2008-09-30","573.0000","606.9000","465.0000","509.9500","467.3299","7088250","0.0000"
"2008-08-29","550.5500","645.0000","550.5500","579.1500","530.7463","8677103","0.0000"
"2008-07-31","667.0000","697.5000","565.1000","569.1500","521.5821","10962687","0.0000"
"2008-06-30","720.0000","739.9000","632.1000","669.8000","610.3058","10886699","0.0000"
"2008-05-30","630.0000","720.0000","613.0000","714.1500","650.7164","7868192","0.0000"
"2008-04-30","595.0000","643.7500","560.3500","623.0000","567.6627","4499784","0.0000"
"2008-03-31","572.6500","604.9500","476.6500","591.2500","538.7328","6245768","0.0000"
"2008-02-29","530.0000","586.9500","424.2500","583.7000","531.8535","4789491","0.0000"
"2008-01-31","720.0000","763.0000","500.1000","529.2500","482.2399","8871078","0.0000"
"2007-12-31","633.0000","744.4000","625.0000","732.3000","667.2543","8673959","0.0000"
"2007-11-30","612.0000","633.0000","583.2500","629.8500","573.9042","5564786","0.0000"
"2007-10-31","600.0000","665.5000","575.0000","621.6000","566.3871","12227814","0.0000"
"2007-09-28","641.0000","674.9500","633.0500","650.0500","592.3101","5265444","0.0000"
"2007-08-31","628.0000","646.0000","607.0000","640.6500","583.7451","6313809","0.0000"
"2007-07-31","655.1000","693.0000","625.0500","634.0500","577.7311","7421294","0.0000"
"2007-06-29","651.0000","665.0000","605.1000","657.2500","595.5340","9625129","0.0000"
