"timestamp","open","high","low","close","adjusted_close","volume","dividend_amount","split_coefficient"
"2018-04-18","514.3500","517.4000","510.6500","512.0000","510.4607","2412444","0.0000","1.0000"
"2018-04-17","521.9000","521.9000","510.5000","512.1500","510.6103","3104869","0.0000","1.0000"
"2018-04-16","513.0000","521.0000","511.5000","519.4000","517.8385","2687330","0.0000","1.0000"
"2018-04-13","514.6000","519.8000","510.3000","513.0000","511.4577","2130074","0.0000","1.0000"
"2018-04-12","521.5000","521.5000","509.6000","515.9000","514.3490","3619891","0.0000","1.0000"
"2018-04-11","511.0000","522.9000","510.3000","521.4500","519.8823","5693850","0.0000","1.0000"
"2018-04-10","512.4000","515.9000","507.5000","508.2500","506.7220","2645876","0.0000","1.0000"
"2018-04-09","512.0000","517.7500","507.3500","510.8500","509.3142","2395291","0.0000","1.0000"
"2018-04-06","508.0000","515.3000","507.0000","512.6000","511.0589","2772128","0.0000","1.0000"
"2018-04-05","506.0000","513.0000","505.1000","507.5500","506.0241","2409077","0.0000","1.0000"
"2018-04-04","514.9500","514.9500","501.0000","502.2500","500.7401","3120925","0.0000","1.0000"
"2018-04-03","506.0000","512.2000","504.5000","510.0000","508.4667","2709038","0.0000","1.0000"
"2018-04-02","500.9000","510.0000","496.0500","507.8500","506.3232","2924481","0.0000","1.0000"
"2018-03-28","504.0000","504.7000","492.0000","495.1000","493.6115","6856832","0.0000","1.0000"
"2018-03-27","506.0000","512.2500","503.2000","505.1000","503.5815","4458072","0.0000","1.0000"
"2018-03-26","502.4000","506.9000","496.1000","503.2000","501.6872","4203954","0.0000","1.0000"
"2018-03-23","501.8000","506.7500","497.5500","502.4000","500.8896","5098042","0.0000","1.0000"
"2018-03-22","520.0000","521.0000","505.1000","508.4000","506.8716","8691889","0.0000","1.0000"
"2018-03-21","513.9500","515.6000","502.5500","504.5000","502.9833","3986735","0.0000","1.0000"
"2018-03-20","496.7500","511.0000","493.7500","508.7500","507.2205","4615574","0.0000","1.0000"
"2018-03-19","506.8000","508.5500","496.0000","497.6500","496.1539","5580228","0.0000","1.0000"
"2018-03-16","512.0500","522.0000","501.3000","503.0500","501.5376","8924919","0.0000","1.0000"
"2018-03-15","520.0000","529.0000","514.7500","516.4500","514.8973","3013808","0.0000","1.0000"
"2018-03-14","523.3000","523.3000","516.1000","520.1000","518.5364","2469628","0.0000","1.0000"
"2018-03-13","512.6500","525.5000","512.6500","523.3000","521.7267","4795084","0.0000","1.0000"
"2018-03-12","511.0000","516.0000","506.5500","512.6500","511.1088","4632925","0.0000","1.0000"
"2018-03-09","514.0000","519.9000","505.0000","506.8000","505.2763","4996423","0.0000","1.0000"
"2018-03-08","529.7000","530.5000","509.5000","514.6000","513.0529","9316674","0.0000","1.0000"
"2018-03-07","532.0000","534.1500","520.1000","524.8500","523.2721","6282066","0.0000","1.0000"
"2018-03-06","561.0000","563.0000","530.0000","531.7500","530.1514","9825945","0.0000","1.0000"
"2018-03-05","535.1000","552.7000","527.0500","548.5500","546.9008","7343286","0.0000","1.0000"
"2018-03-01","537.9500","541.5000","533.2500","535.4000","533.7904","4264631","0.0000","1.0000"
"2018-02-28","543.0000","552.3500","532.6500","535.3500","533.7405","8366660","0.0000","1.0000"
"2018-02-27","555.9500","563.4500","542.0500","544.8000","543.1621","6920945","0.0000","1.0000"
"2018-02-26","570.0000","571.9000","553.3500","555.9500","554.2786","8083731","0.0000","1.0000"
