"timestamp","open","high","low","close","volume"
"2015-06-19","1938.0000","2043.0000","1921.0000","2005.0500","88981"
"2015-06-12","2085.0000","2098.5000","1605.0000","1938.0000","65217"
"2015-06-05","2198.8501","2212.0000","2073.0000","2090.8000","120075"
"2015-05-29","2200.5500","2286.2500","2168.7500","2216.8501","54077"
"2015-05-22","2170.9500","2283.0000","2136.1001","2225.1001","30469"
"2015-05-15","2207.0000","2227.9500","2110.1001","2153.3000","38088"
"2015-05-08","2100.0000","2280.0000","2095.5500","2178.8000","123055"
"2015-04-30","2181.7500","2181.7500","1985.0000","2087.9500","57358"
"2015-04-24","2300.0000","2300.0000","2138.0000","2149.5000","64964"
"2015-04-17","2315.2500","2364.0000","2255.6499","2273.4500","41051"
"2015-04-10","2216.5000","2429.6001","2216.4500","2308.3000","145449"
"2015-04-01","2180.0000","2275.0000","2163.0500","2216.5000","117720"
"2015-03-27","2155.0000","2198.0000","2001.1000","2152.7500","120850"
"2015-03-20","2126.0000","2198.8999","2066.6001","2169.7500","117291"
"2015-03-13","2071.0000","2225.0000","2030.0000","2135.8501","171501"
"2015-03-05","1984.0000","2095.0000","0.0000","2077.6499","176642"
"2015-02-20","2074.0000","2098.0000","1985.0000","1990.5000","59010"
"2015-02-13","2014.0000","2116.6001","1972.0000","2087.2000","110570"
"2015-02-06","2030.0000","2082.3000","1950.5000","2013.9000","152950"
"2015-01-30","2154.0000","2167.2500","1720.0000","2047.3500","75970"
"2015-01-23","2130.0000","2194.3000","2044.0000","2140.2000","91748"
"2015-01-16","2273.0000","2273.0000","2080.0000","2099.6001","117401"
"2015-01-09","2210.0000","2325.0000","2203.3000","2259.0500","156070"
"2015-01-02","2037.6500","2237.0000","2000.0000","2220.2000","138054"
"2014-12-26","2059.8501","2080.0000","1990.0000","2037.6500","77152"
"2014-12-19","2006.0000","2089.9500","1882.3000","2050.6499","159880"
"2014-12-12","1980.0000","2120.0000","1940.1000","2036.0500","216049"
"2014-12-05","1755.1000","1984.7500","1741.0000","1965.4500","168496"
"2014-11-28","1700.0000","1824.9500","1650.1000","1771.1500","197976"
"2014-11-21","1670.0000","1720.0000","1646.0000","1678.9500","69893"
"2014-11-14","1655.3000","1689.9000","1637.5000","1644.9000","42479"
"2014-11-07","1697.1500","1720.0000","1602.6000","1655.3000","84528"
"2014-10-31","1587.0000","1664.0000","1582.0500","1649.1000","54279"
"2014-10-22","1544.0000","1579.4000","1538.9500","1565.5000","16997"
"2014-10-17","1609.0000","1625.0500","1504.3500","1535.8000","45860"
"2014-10-10","1650.6000","1720.0000","1590.0500","1599.4000","79441"
"2014-10-01","1528.0500","1708.0000","1521.2500","1660.8000","98290"
"2014-09-26","1673.7500","1673.7500","1401.6000","1527.9500","97026"
"2014-09-19","1560.0000","1825.0000","1560.0000","1662.8000","432280"
"2014-09-12","1451.0000","1587.0000","1425.0000","1547.7500","152307"
"2014-09-05","1430.0000","1499.0000","1414.0000","1455.0000","151952"
"2014-08-28","1396.7500","1450.0000","1396.0000","1422.9500","60782"
"2014-08-22","1345.0000","1414.0000","1335.0500","1396.7500","65653"
"2014-08-14","1346.9000","1346.9000","1320.0000","1341.1000","85926"
"2014-08-08","1350.0000","1358.2500","1320.0500","1332.1500","72051"
"2014-08-01","1382.0000","1400.0000","1340.0000","1342.0000","48793"
"2014-07-25","1405.0000","1444.9500","1375.0000","1380.4500","53183"
"2014-07-18","1365.0000","1450.0000","1332.0000","1403.6000","52874"
"2014-07-11","1461.0000","1484.5000","1315.0000","1358.3000","70013"
"2014-07-04","1429.0500","1500.0000","1400.0000","1463.8500","184364"
"2014-06-27","1430.0000","1449.9500","1380.0500","1417.1500","89419"
"2014-06-20","1292.0000","1450.0000","1260.0000","1412.4500","275610"
"2014-06-13","1222.2500","1285.0000","1210.0000","1262.9500","131403"
"2014-06-06","1230.0000","1255.0000","1207.0000","1222.2500","56202"
"2014-05-30","1245.0000","1250.0000","1201.0000","1231.4000","85682"
"2014-05-23","1230.0000","1235.0000","1173.2000","1219.0500","105889"
"2014-05-16","1234.5000","1270.3000","1193.0000","1221.2000","60258"
"2014-05-09","1275.0500","1275.0500","1226.0000","1235.1500","75231"
"2014-05-02","1318.9000","1318.9000","1266.0000","1283.2000","62353"
"2014-04-25","1259.8000","1326.0000","1252.0000","1301.8000","134621"
"2014-04-17","1241.0000","1260.0000","1224.0000","1234.8000","28883"
"2014-04-11","1297.0000","1300.0000","1230.0000","1244.9500","182894"
"2014-04-04","1247.0000","1348.6500","1237.1000","1287.8500","147074"
"2014-03-28","1165.0000","1245.3500","0.0000","1231.1000","235475"
"2014-03-14","1137.4000","1199.0000","1125.0000","1168.3000","191255"
"2014-03-07","1140.0000","1212.0000","1115.0000","1148.9000","374090"
"2014-02-28","1050.0000","1229.0000","1021.0000","1125.3500","675472"
"2014-02-21","1050.0000","1078.0000","1038.1000","1040.4500","32293"
"2014-02-14","1064.0000","1078.0000","1042.0000","1058.4000","40862"
"2014-02-07","1032.8000","1064.9500","1010.0000","1056.1000","53377"
"2014-01-31","1085.0000","1086.0000","1032.0500","1042.8500","56052"
"2014-01-24","1085.1000","1118.0000","1061.0000","1091.0500","68180"
"2014-01-17","1100.0000","1125.0000","1085.0000","1090.2000","59721"
"2014-01-10","1164.9000","1165.0000","1101.0000","1110.4000","85674"
"2014-01-03","1162.0000","1175.0000","1140.0000","1154.1000","94873"
"2013-12-27","1186.7500","1197.0500","1151.0000","1161.9500","77876"
